cohortGo,feature,e_nr,ne_nr,e_r,ne_r,events,no_events,responders,non_responders,total_patients,direction,fisher_pval,or,ci_low,ci_high,group,ct,no_dcb,dcb,type,p_bh,p_by,mechanism
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_effector_lt75_or_rna_geneset_KEGG_AXON_GUIDANCE_gt75,147,44,49,69,196,113,118,191,309,Non-Response,6.47934796374072e-10,0.213768642745054,0.125319390480934,0.360146830598557,mechanism,309,191,118,combination,6.16098842227084e-07,7.74821609321658e-06,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tmbPerMb_lt75_and_rna_geneset_gene_set_t_cell_effector_lt75,75,116,10,108,85,224,118,191,309,Non-Response,7.48681970524488e-10,0.144017304866568,0.0630712536314004,0.298234894055167,mechanism,309,191,118,combination,6.76301061351893e-07,8.50533454743088e-06,Anti-PD-1
Pan-Cancer ## Anti-PD-1,neo_ct_lt75_or_rna_geneset_KEGG_RENIN_ANGIOTENSIN_SYSTEM_gt50,141,47,46,70,187,117,116,188,304,Non-Response,9.45791882229551e-10,0.22027974533217,0.129180204013014,0.371057276270295,mechanism,304,188,116,combination,8.05957949217022e-07,1.01359326208204e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tmbPerMb_lt75_or_rna_geneset_KEGG_RENIN_ANGIOTENSIN_SYSTEM_gt50,136,55,42,76,178,131,118,191,309,Non-Response,9.7395041476351e-10,0.224695922388894,0.13282060494624,0.375373956070942,mechanism,309,191,118,combination,8.07888761396374e-07,1.01602150069825e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_APM_lt75_or_rna_geneset_HALLMARK_KRAS_SIGNALING_DN_gt25,171,20,70,48,241,68,118,191,309,Non-Response,9.63309349517028e-10,0.1716791613131,0.0895797210419909,0.319085842289053,mechanism,309,191,118,combination,8.07888761396374e-07,1.01602150069825e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,neo_ct_lt75_and_rna_geneset_vhio_tcell_lt75,77,111,11,105,88,216,116,188,304,Non-Response,1.00091165834403e-09,0.151879705382664,0.0689074492450461,0.307344567638208,mechanism,304,188,116,combination,8.1782027046946e-07,1.02851161967849e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tmbPerMb_lt75,123,124,33,129,156,253,162,247,409,Non-Response,1.20627855887872e-09,0.258766526252483,0.158199073280747,0.415462032334596,mechanism,409,247,162,univariate,8.9517131417349e-07,1.12579026404149e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,neo_ct_lt75_and_rna_geneset_gene_set_t_cell_effector_lt75,74,114,10,106,84,220,116,188,304,Non-Response,1.28428730451074e-09,0.146162565309562,0.0639183055966995,0.303205807074806,mechanism,304,188,116,combination,9.19923115149063e-07,1.15691875991105e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,neo_ct_lt75_or_rna_geneset_gene_set_t_cell_gep_6_lt75,159,29,60,56,219,85,116,188,304,Non-Response,1.35849868316397e-09,0.196621439656691,0.109832104163942,0.345844545417149,mechanism,304,188,116,combination,9.60387690804762e-07,1.20780804176188e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tml_lt75_and_rna_geneset_vhio_tcell_lt75,74,117,10,108,84,225,118,191,309,Non-Response,1.41613638087774e-09,0.147211011130834,0.0644468321439945,0.304964816477666,mechanism,309,191,118,combination,9.88244391665059e-07,1.24284133887529e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tmbPerMb_lt75_or_rna_geneset_KEGG_BASAL_CELL_CARCINOMA_gt75,121,70,33,85,154,155,118,191,309,Non-Response,1.54978430926529e-09,0.225782604241104,0.131916917486756,0.379924202983766,mechanism,309,191,118,combination,1.04996595465799e-06,1.32046394987575e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_effector_lt75_and_rna_geneset_HALLMARK_KRAS_SIGNALING_DN_gt25,95,96,19,99,114,195,118,191,309,Non-Response,1.57149168517397e-09,0.19496519657423,0.104059115989059,0.35108606864632,mechanism,309,191,118,combination,1.05587357448726e-06,1.32789352316765e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tml_lt75_and_rna_geneset_gene_set_t_cell_effector_lt75,71,120,9,109,80,229,118,191,309,Non-Response,1.72763159508874e-09,0.140314477504454,0.0588029243829859,0.299305285913139,mechanism,309,191,118,combination,1.10088814851563e-06,1.38450499895863e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_APM_lt75_or_rna_geneset_KEGG_RENIN_ANGIOTENSIN_SYSTEM_gt50,159,32,60,58,219,90,118,191,309,Non-Response,1.83265937847681e-09,0.2094029146487,0.118970569660515,0.362959916532809,mechanism,309,191,118,combination,1.15052799081688e-06,1.44693333003501e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_APM_lt75_or_rna_geneset_KEGG_BASAL_CELL_CARCINOMA_gt75,144,47,48,70,192,117,118,191,309,Non-Response,1.94250204101554e-09,0.225028484939523,0.13259068315637,0.377413771949643,mechanism,309,191,118,combination,1.2101415588699e-06,1.52190487286291e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,neo_ct_lt75_or_rna_geneset_APM_lt75,163,25,64,52,227,77,116,188,304,Non-Response,2.03328690114373e-09,0.189953478036403,0.103514294023156,0.341185686281257,mechanism,304,188,116,combination,1.25230448315215e-06,1.5749300412401e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_KEGG_RENIN_ANGIOTENSIN_SYSTEM_gt50_and_rna_geneset_vhio_tcell_lt75,62,129,6,112,68,241,118,191,309,Non-Response,2.31735604598724e-09,0.112113097973752,0.0381449056434162,0.271746746011331,mechanism,309,191,118,combination,1.38528477340233e-06,1.74216944413728e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_effector_lt75_or_rna_geneset_KEGG_HEDGEHOG_SIGNALING_PATHWAY_gt75,143,48,48,70,191,118,118,191,309,Non-Response,2.46590748630158e-09,0.231394838219857,0.136592648131439,0.387509504202471,mechanism,309,191,118,combination,1.40793196218874e-06,1.77065112606783e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_6_lt75_or_rna_geneset_KEGG_HEDGEHOG_SIGNALING_PATHWAY_gt75,143,48,48,70,191,118,118,191,309,Non-Response,2.46590748630158e-09,0.231394838219857,0.136592648131439,0.387509504202471,mechanism,309,191,118,combination,1.40793196218874e-06,1.77065112606783e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_KEGG_BASAL_CELL_CARCINOMA_gt75_or_rna_geneset_vhio_tcell_lt75,143,48,48,70,191,118,118,191,309,Non-Response,2.46590748630158e-09,0.231394838219857,0.136592648131439,0.387509504202471,mechanism,309,191,118,combination,1.40793196218874e-06,1.77065112606783e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_KEGG_HEDGEHOG_SIGNALING_PATHWAY_gt75_or_rna_geneset_vhio_tcell_lt75,143,48,48,70,191,118,118,191,309,Non-Response,2.46590748630158e-09,0.231394838219857,0.136592648131439,0.387509504202471,mechanism,309,191,118,combination,1.40793196218874e-06,1.77065112606783e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,neo_ct_lt75_and_rna_geneset_gene_set_t_cell_gep_10_lt75,78,110,12,104,90,214,116,188,304,Non-Response,2.83982314407848e-09,0.163622384780268,0.0765203497463197,0.324308345402322,mechanism,304,188,116,combination,1.50898550189828e-06,1.89773863362159e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,clin_hasSystemicPreTreatment_or_purity_tml_lt75,177,70,68,94,245,164,162,247,409,Non-Response,3.00258578258818e-09,0.287017157612373,0.184459674813625,0.443499969910776,mechanism,409,247,162,combination,1.5799820164313e-06,1.98702566011211e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,neo_ct_lt75_and_rna_geneset_HALLMARK_KRAS_SIGNALING_DN_gt25,70,118,9,107,79,225,116,188,304,Non-Response,3.03367945057522e-09,0.142574245720779,0.0596656008001141,0.304644692123939,mechanism,304,188,116,combination,1.58607784985411e-06,1.99469193561711e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_APM_lt75_or_rna_geneset_vhio_tcell_lt75,152,39,55,63,207,102,118,191,309,Non-Response,3.20469733847427e-09,0.225223570522482,0.130987337309704,0.38249943186077,mechanism,309,191,118,combination,1.66478395476434e-06,2.09367473949568e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_APM_lt75_or_rna_geneset_KEGG_AXON_GUIDANCE_gt75,145,46,50,68,195,114,118,191,309,Non-Response,4.0177419343451e-09,0.234496623555615,0.138216967165174,0.393391460749721,mechanism,309,191,118,combination,1.98564377823904e-06,2.49719623272338e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_KEGG_AXON_GUIDANCE_gt75_or_rna_geneset_vhio_tcell_lt75,145,46,50,68,195,114,118,191,309,Non-Response,4.0177419343451e-09,0.234496623555615,0.138216967165174,0.393391460749721,mechanism,309,191,118,combination,1.98564377823904e-06,2.49719623272338e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tmbPerMb_lt75_and_rna_geneset_gene_set_t_cell_gep_6_lt75,74,117,11,107,85,224,118,191,309,Non-Response,4.59173566766212e-09,0.163407206600705,0.0741497255410975,0.330632647982095,mechanism,309,191,118,combination,2.20889655648084e-06,2.77796461770776e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tml_lt75_and_rna_geneset_gene_set_t_cell_gep_10_lt75,74,117,11,107,85,224,118,191,309,Non-Response,4.59173566766212e-09,0.163407206600705,0.0741497255410975,0.330632647982095,mechanism,309,191,118,combination,2.20889655648084e-06,2.77796461770776e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_effector_lt75_or_rna_geneset_KEGG_BASAL_CELL_CARCINOMA_gt75,142,49,48,70,190,119,118,191,309,Non-Response,5.10748296792422e-09,0.237850322636286,0.140649947225852,0.397725765009642,mechanism,309,191,118,combination,2.40714932063346e-06,3.02729234768356e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_6_lt75_or_rna_geneset_KEGG_BASAL_CELL_CARCINOMA_gt75,141,50,47,71,188,121,118,191,309,Non-Response,5.37982762448297e-09,0.235968964978752,0.139588941551137,0.394366226525714,mechanism,309,191,118,combination,2.51364716116575e-06,3.16122674673588e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tml_lt75_or_rna_geneset_KEGG_RENIN_ANGIOTENSIN_SYSTEM_gt50,138,53,46,72,184,125,118,191,309,Non-Response,8.37002671640958e-09,0.246603575839834,0.146352884683334,0.410884199612481,mechanism,309,191,118,combination,3.66832777367861e-06,4.61338251967266e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_10_lt75_or_rna_geneset_KEGG_HEDGEHOG_SIGNALING_PATHWAY_gt75,144,47,50,68,194,115,118,191,309,Non-Response,8.34388537988376e-09,0.241228439257596,0.142441105725043,0.404046022603894,mechanism,309,191,118,combination,3.66832777367861e-06,4.61338251967266e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tmbPerMb_lt75_or_rna_geneset_APM_lt75,159,32,62,56,221,88,118,191,309,Non-Response,1.30883047892943e-08,0.224042199054891,0.12729373285044,0.3886209112401,mechanism,309,191,118,combination,5.45674918494788e-06,6.86254687618385e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tmbPerMb_lt75_or_rna_geneset_KEGG_AXON_GUIDANCE_gt75,122,69,36,82,158,151,118,191,309,Non-Response,1.37442660910402e-08,0.249512152149158,0.147198690271995,0.41677255117461,mechanism,309,191,118,combination,5.70099535171162e-06,7.16971708172819e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_APM_lt75_or_rna_geneset_gene_set_t_cell_gep_6_lt75,150,41,55,63,205,104,118,191,309,Non-Response,1.52647144250862e-08,0.239864971577993,0.1402512492926,0.405531681436918,mechanism,309,191,118,combination,6.15883879923118e-06,7.7455126724846e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_10_lt75_or_rna_geneset_KEGG_BASAL_CELL_CARCINOMA_gt75,143,48,50,68,193,116,118,191,309,Non-Response,1.77112947766224e-08,0.248053816806285,0.146732833402343,0.41482366021378,mechanism,309,191,118,combination,6.95608963306582e-06,8.74815564430357e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,neo_ct_lt75_or_purity_tmbPerMb_lt75,134,86,40,93,174,179,133,220,353,Non-Response,1.79471307597157e-08,0.277101488107516,0.169512437041481,0.447303367082493,mechanism,353,220,133,combination,6.98126212265132e-06,8.77981320889299e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_effector_lt75_or_rna_geneset_KEGG_RENIN_ANGIOTENSIN_SYSTEM_gt50,157,34,61,57,218,91,118,191,309,Non-Response,1.99718049545093e-08,0.232987287777197,0.133448165840465,0.401348290560591,mechanism,309,191,118,combination,7.60509494612015e-06,9.56436127017571e-05,Anti-PD-1
Pan-Cancer ## Anti-PD-1,neo_ct_lt75_or_rna_geneset_KEGG_BASAL_CELL_CARCINOMA_gt75,122,66,37,79,159,145,116,188,304,Non-Response,2.25270903866187e-08,0.25461530559167,0.150018509180994,0.426107959812222,mechanism,304,188,116,combination,8.30580463193521e-06,0.000104455916332582,Anti-PD-1
Pan-Cancer ## Anti-PD-1,clin_hasSystemicPreTreatment_or_rna_geneset_APM_lt75,166,25,69,49,235,74,118,191,309,Non-Response,2.2675715291656e-08,0.213300258898379,0.116278159577153,0.383246451244361,mechanism,309,191,118,combination,8.34168768097892e-06,0.000104907190704515,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tmbPerMb_lt75_or_rna_geneset_gene_set_t_cell_gep_6_lt75,156,35,60,58,216,93,118,191,309,Non-Response,2.33213040296423e-08,0.233330716180473,0.134136582569399,0.400590542013001,mechanism,309,191,118,combination,8.52134245530737e-06,0.000107166574943321,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_6_lt75,130,61,42,76,172,137,118,191,309,Non-Response,2.58184724586791e-08,0.260567210842249,0.155069207725323,0.432685167348266,mechanism,409,247,162,univariate,9.30827491094524e-06,0.00011706323810699,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_6_lt75_or_rna_geneset_vhio_tcell_lt75,138,53,47,71,185,124,118,191,309,Non-Response,2.72927547138782e-08,0.255476725822062,0.151839869148267,0.425254332051247,mechanism,309,191,118,combination,9.68940465276674e-06,0.000121856422896155,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_10_lt75_and_rna_geneset_KEGG_RENIN_ANGIOTENSIN_SYSTEM_gt50,60,131,7,111,67,242,118,191,309,Non-Response,3.02285061204438e-08,0.13843854464421,0.0512801831421213,0.319718239432776,mechanism,309,191,118,combination,1.04778042465256e-05,0.00013177153716283,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_APM_lt75_or_rna_geneset_gene_set_t_cell_gep_10_lt75,150,41,56,62,206,103,118,191,309,Non-Response,3.08046573003096e-08,0.248129923816598,0.14515484206933,0.41945776781029,mechanism,309,191,118,combination,1.05893777330142e-05,0.000133174713770763,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_10_lt75_or_rna_geneset_KEGG_RENIN_ANGIOTENSIN_SYSTEM_gt50,158,33,62,56,220,89,118,191,309,Non-Response,3.19985215464652e-08,0.232461034023645,0.132618803178973,0.401886295796671,mechanism,309,191,118,combination,1.09304529546474e-05,0.000137464162703506,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_10_lt75_or_rna_geneset_gene_set_t_cell_gep_6_lt75,137,54,47,71,184,125,118,191,309,Non-Response,3.43031204354906e-08,0.262168156662524,0.156044835950478,0.43586955593411,mechanism,309,191,118,combination,1.15478649618424e-05,0.000145228893494106,Anti-PD-1
Pan-Cancer ## Anti-PD-1,neo_ct_lt75_or_rna_geneset_KEGG_AXON_GUIDANCE_gt75,125,63,39,77,164,140,116,188,304,Non-Response,3.68564748265079e-08,0.256531017902386,0.15159262648391,0.428478809644651,mechanism,304,188,116,combination,1.23562661728671e-05,0.000155395553198245,Anti-PD-1
Pan-Cancer ## Anti-PD-1,neo_ct_lt75_and_rna_geneset_gene_set_t_cell_gep_6_lt75,73,115,12,104,85,219,116,188,304,Non-Response,3.86071151543411e-08,0.182706422794516,0.0853020755803203,0.362863086954396,mechanism,304,188,116,combination,1.2837300020175e-05,0.000161445157485148,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tmbPerMb_lt75_and_purity_tml_lt75,110,137,30,132,140,269,162,247,409,Non-Response,4.22672441523552e-08,0.283920613550599,0.170886160697027,0.461816590768356,mechanism,409,247,162,combination,1.3828107373611e-05,0.000173905803334472,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_APM_lt75_or_rna_geneset_gene_set_t_cell_effector_lt75,147,44,54,64,201,108,118,191,309,Non-Response,4.38430255206852e-08,0.253801892194998,0.14943387166804,0.426601595770943,mechanism,309,191,118,combination,1.42007734334908e-05,0.000178592546702011,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tmbPerMb_lt75_and_rna_geneset_APM_lt75,72,119,12,106,84,225,118,191,309,Non-Response,4.47250598849456e-08,0.188034241767195,0.0878829517619078,0.373096252276912,mechanism,309,191,118,combination,1.43719472078506e-05,0.000180745271723271,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_KEGG_AXON_GUIDANCE_gt75_or_rna_geneset_KEGG_RENIN_ANGIOTENSIN_SYSTEM_gt50,107,84,29,89,136,173,118,191,309,Non-Response,4.92642461131814e-08,0.256971394879105,0.148374429874476,0.43623824336447,mechanism,309,191,118,combination,1.57064076264923e-05,0.00019752778612324,Anti-PD-1
Pan-Cancer ## Anti-PD-1,neo_ct_lt75_and_rna_geneset_APM_lt75,70,118,11,105,81,223,116,188,304,Non-Response,5.03587774792723e-08,0.177509494053533,0.0803328904592023,0.360308803738898,mechanism,304,188,116,combination,1.5992649415185e-05,0.000201127635825412,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_effector_lt75_or_rna_geneset_gene_set_t_cell_gep_6_lt75,138,53,48,70,186,123,118,191,309,Non-Response,5.42183215743303e-08,0.264602376390917,0.157469936915975,0.440071521104789,mechanism,309,191,118,combination,1.69861091548034e-05,0.000213621638759501,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_effector_lt75_or_rna_geneset_vhio_tcell_lt75,138,53,48,70,186,123,118,191,309,Non-Response,5.42183215743303e-08,0.264602376390917,0.157469936915975,0.440071521104789,mechanism,309,191,118,combination,1.69861091548034e-05,0.000213621638759501,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tmbPerMb_lt75_and_rna_geneset_HALLMARK_KRAS_SIGNALING_DN_gt25,70,121,11,107,81,228,118,191,309,Non-Response,5.51740393195696e-08,0.178598995908756,0.0809163366847257,0.362046739988841,mechanism,309,191,118,combination,1.7087977991016e-05,0.000214902767211693,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tmbPerMb_lt75_or_rna_geneset_KEGG_HEDGEHOG_SIGNALING_PATHWAY_gt75,121,70,37,81,158,151,118,191,309,Non-Response,5.4782248773555e-08,0.265478758038285,0.157210810562906,0.442187814771483,mechanism,309,191,118,combination,1.7087977991016e-05,0.000214902767211693,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tml_lt75_and_rna_geneset_gene_set_t_cell_gep_6_lt75,70,121,11,107,81,228,118,191,309,Non-Response,5.51740393195696e-08,0.178598995908756,0.0809163366847257,0.362046739988841,mechanism,309,191,118,combination,1.7087977991016e-05,0.000214902767211693,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_effector_lt75_and_rna_geneset_KEGG_RENIN_ANGIOTENSIN_SYSTEM_gt50,59,132,7,111,66,243,118,191,309,Non-Response,5.684710056927e-08,0.141849703741887,0.0525166606557459,0.327829754784974,mechanism,309,191,118,combination,1.74072031230926e-05,0.000218917423848239,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_effector_lt75_and_rna_geneset_gene_set_t_cell_gep_6_lt75,122,69,38,80,160,149,118,191,309,Non-Response,6.16645810142807e-08,0.269873747728071,0.16015578909604,0.448798950825141,mechanism,309,191,118,combination,1.87062267607463e-05,0.000235254276257105,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_6_lt75_or_rna_geneset_KEGG_RENIN_ANGIOTENSIN_SYSTEM_gt50,155,36,61,57,216,93,118,191,309,Non-Response,6.25244178278018e-08,0.24978557067854,0.144115591628562,0.427833881087674,mechanism,309,191,118,combination,1.88965525835779e-05,0.000237647862322107,Anti-PD-1
Pan-Cancer ## Anti-PD-1,clin_hasSystemicPreTreatment_or_rna_geneset_gene_set_t_cell_effector_lt75,167,24,71,47,238,71,118,191,309,Non-Response,6.37136401410256e-08,0.218321085720371,0.117987924496147,0.395397213445485,mechanism,309,191,118,combination,1.92202420401679e-05,0.00024171866344176,Anti-PD-1
Pan-Cancer ## Anti-PD-1,neo_ct_lt75_or_rna_geneset_gene_set_t_cell_effector_lt75,158,30,64,52,222,82,116,188,304,Non-Response,6.42716010473168e-08,0.234915822756718,0.131790565297405,0.412480082662011,mechanism,304,188,116,combination,1.93168831554374e-05,0.000242934046742743,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_10_lt75_or_rna_geneset_vhio_tcell_lt75,136,55,47,71,183,126,118,191,309,Non-Response,6.52982673441682e-08,0.268942980906894,0.160297565540663,0.446646009883736,mechanism,309,191,118,combination,1.94457283399763e-05,0.000244554436628186,Anti-PD-1
Pan-Cancer ## Anti-PD-1,purity_tmbPerMb_lt75_or_purity_tml_lt75,129,118,41,121,170,239,162,247,409,Non-Response,7.69422809019431e-08,0.310872359691704,0.195592799803182,0.487747282925226,mechanism,409,247,162,combination,2.21427628143259e-05,0.00027847302969448,Anti-PD-1
Pan-Cancer ## Anti-PD-1,clin_hasSystemicPreTreatment_or_neo_ct_lt75,172,48,67,66,239,114,133,220,353,Non-Response,9.60621350786302e-08,0.284434104530664,0.172890985829558,0.464093717110437,mechanism,353,220,133,combination,2.68376478342184e-05,0.00033751710050532,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_gene_set_t_cell_gep_10_lt75_and_rna_geneset_gene_set_t_cell_gep_6_lt75,125,66,40,78,165,144,118,191,309,Non-Response,9.7538453247335e-08,0.272006752972653,0.16191441426485,0.451474507635451,mechanism,309,191,118,combination,2.71567764060106e-05,0.000341530542775114,Anti-PD-1
Pan-Cancer ## Anti-PD-1,neo_ct_lt75_or_rna_geneset_gene_set_t_cell_gep_10_lt75,156,32,63,53,219,85,116,188,304,Non-Response,1.01256085516378e-07,0.245127064579648,0.1387984077886,0.426882378429847,mechanism,304,188,116,combination,2.7952524605759e-05,0.00035153807498399,Anti-PD-1
Pan-Cancer ## Anti-PD-1,rna_geneset_APM_lt75_and_rna_geneset_gene_set_t_cell_gep_6_lt75,111,80,32,86,143,166,118,191,309,Non-Response,1.03898641917493e-07,0.269368782445102,0.157511806615367,0.452874671400514,mechanism,309,191,118,combination,2.85849600313038e-05,0.000359491744113464,Anti-PD-1
