gene,cancer_related,label,cancer_pathway,protein_type,subcellular_location,description
TMEM52,No,Unknown,Apoptosis,Membrane protein,Endoplasmic reticulum,May play a role in apoptosis and cell survival
CFAP74,No,Unknown,Cilia Formation,Structural protein,Cilia,Involved in the structure/function of cilia
GABRD,No,Unknown,Neurotransmission,GABA receptor subunit,Membrane,Mediates inhibitory neurotransmission in the brain
PRKCZ,Yes,Oncogene,Signal Transduction,Protein kinase,"Cytoplasm, Nucleus",Regulates various signaling pathways including NF-kB
PRKCZ-AS1,No,Non-coding RNA,,Non-coding RNA,Nucleus,May regulate gene expression indirectly
FAAP20,No,Unknown,Dna Repair,Protein,Nucleus,Involved in DNA repair processes
SKI,Yes,Oncogene,Tumor Suppression,Transcription factor,Nucleus,Role in transcriptional repression
MORN1,No,Unknown,Ciliary Function,Protein,Cilia,Regulates ciliary assembly and function
RER1,No,Unknown,Vesicular Transport,Membrane protein,Endoplasmic reticulum,Involved in protein sorting and transport
PEX10,No,Tumor suppressor (possible),Peroxisomal Biogenesis,Membrane protein,Peroxisome,Involved in peroxisome assembly and function
PLCH2,Yes,Oncogene,Signal Transduction,Phospholipase C,Membrane,"Hydrolyzes phosphoinositides, important in cell signaling"
PANK4,Yes,Tumor suppressor,"Metabolism, Cancer Metabolism",Enzyme (pantothenate kinase),Cytoplasm,"Involved in CoA biosynthesis, may affect cancer metabolism"
HES5,Yes,Oncogene,Notch Signaling,Transcription factor,Nucleus,Regulates neurogenesis and cell differentiation.
TNFRSF14-AS1,No,Neither,"Immune Response, Cancer",Non-coding RNA,Nucleus,"Antisense RNA, role in gene regulation and tumorigenesis."
TNFRSF14,Yes,Oncogene,Immune Modulation,Receptor (TNF receptor superfamily),Membrane,Plays a role in cell proliferation and apoptosis.
PRXL2B,No,Unknown,Cellular Regulation,Protein-tyrosine phosphatase,Cytoplasm,Possible role in cellular signal transduction.
MMEL1,No,Unknown,Cellular Regulation,Metalloproteinase,Cytoplasm,Involved in protein processing; potential role in cancer
MMEL1-AS1,No,Neither,,Non-coding RNA,Nucleus,Antisense RNA involved in gene regulation.
TTC34,No,Unknown,,Tetratricopeptide repeat protein,Cytoplasm,Involved in protein-protein interactions.
ACTRT2,No,Unknown,Cellular Dynamics,Actin regulatory protein,Cytoplasm,Role in cytoskeletal organization.
PRDM16-DT,No,Neither,Development,Non-coding RNA,Nucleus,Long non-coding RNA with regulatory roles.
PRDM16,Yes,Oncogene,Differentiation ,Transcription factor,Nucleus,Involved in differentiation of brown adipose tissue.
ARHGEF16,Yes,Oncogene,Rho Gtpase Signaling,Guanine nucleotide exchange factor,Cytoplasm,Plays role in cell migration and signaling.
MEGF6,No,Unknown,Cell Adhesion,Transmembrane protein,Membrane,Involved in cell adhesion and signaling.
MIR551A,No,Neither,,MicroRNA,Cytoplasm,Regulates gene expression post-transcriptionally.
TPRG1L,No,Unknown,"Signaling, Tumorigenesis",Protein,Cytoplasm,Potential role in signal transduction and tumor growth.
WRAP73,No,Unknown,,Protein,Cytoplasm,Roles in cell proliferation; less characterized.
TP73,Yes,Tumor suppressor,P53 Signaling,Transcription factor,Nucleus,Involved in apoptosis and development.
TP73-AS3,No,Neither,,Non-coding RNA,Nucleus,Antisense RNA that may regulate TP73 expression.
TP73-AS2,No,Neither,,Non-coding RNA,Nucleus,Antisense RNA with potential regulatory roles.
TP73-AS1,No,Neither,,Non-coding RNA,Nucleus,"Involved in TP73 regulation, potential functional roles."
CCDC27,Yes,Tumor Suppressor,Cell Cycle Regulation,Protein,Cytoplasm,Involved in mitotic spindle assembly and cell division.
SMIM1,No,Neither,,Membrane Protein,Plasma Membrane,Predicted to play a role in cellular stress response.
LRRC47,No,Neither,Immune Response,Protein,Cytoplasm,May be involved in immune system modulation.
RN7SL574P,No,Neither,,Non-coding RNA,Nucleus,Dual role in RNA processing and regulation.
CEP104,Yes,Neither,Ciliary Function,Protein,Cilia,Important for ciliary assembly and function.
DFFB,Yes,Tumor Suppressor,Apoptosis,Apoptosome,Cytoplasm,Involved in apoptosis and cell death pathways.
C1orf174,No,Neither,,Protein,Unknown,Function largely unidentified; potential role in cell regulation.
LINC01134,No,Neither,,Long Non-coding RNA,Nucleus,Likely involved in gene regulation via chromatin remodeling.
LINC01346,No,Neither,,Long Non-coding RNA,Nucleus,"Functions in gene regulation, possibly in oncogenesis."
LINC01345,No,Neither,,Long Non-coding RNA,Nucleus,Involved in transcriptional regulation.
EEF1DP6,No,Neither,Translation,Elongation Factor,Cytoplasm,Involved in protein synthesis as part of the ribosome complex.
LINC01777,No,Neither,,Long Non-coding RNA,Nucleus,Associated with the regulation of gene expression.
LINC01646,No,Neither,,Long Non-coding RNA,Nucleus,May regulate nearby gene expression.
AJAP1,Yes,Tumor Suppressor,Cell Adhesion,Protein,Plasma Membrane,Involved in cell-cell adhesion in epithelial tissues.
LINC02782,No,Neither,,Long Non-coding RNA,Nucleus,Potential role in chromatin regulation and gene expression.
MIR4689,No,Neither,Microrna ,MicroRNA,Nucleus/Cytoplasm,"Inhibits target gene expression, involved in various cellular processes."
NPHP4,Yes,Tumor Suppressor,Ciliary ,Protein,Cilia,Involved in cilia function and protein localization.
KCNAB2,No,Neither,Ion Channel ,Ion Channel Protein,Plasma Membrane,Can modulate neuronal signaling via potassium ion transport.
CHD5,Yes,Tumor Suppressor,Genome Stability,ATP-dependent Chromatin Remodeling Protein,Nucleus,Regulates chromatin structure and gene expression.
RPL22,Yes,Tumor Suppressor,Ribosomal Biogenesis,Ribosomal Protein,Nucleus/Cytoplasm,Critical for ribosome assembly and protein synthesis.
LINC01672,No,N/A,,Long non-coding RNA,Nucleus,Involved in gene regulation and epigenetic modifications.
CAMTA1-DT,No,N/A,,Long non-coding RNA,Nucleus,Potential regulatory role in transcription and cellular processes.
CAMTA1,Yes,Tumor Suppressor,Various Signaling ,Transcription factor,Nucleus,"Regulates gene expression, involved in stress response and growth."
RNU1-8P,No,N/A,,Small nuclear RNA,Nucleus,Involved in RNA splicing as part of the spliceosome.
CAMTA1-IT1,No,N/A,,Long non-coding RNA,Nucleus,Possible role in regulating CAMTA1 expression and function.
CAMTA1-AS2,No,N/A,,Long non-coding RNA,Nucleus,May regulate CAMTA1 and associated genes; involved in chromatin remodeling.
CAMTA1-AS1,No,N/A,,Long non-coding RNA,Nucleus,Potential regulatory role in gene expression.
VAMP3,No,N/A,Vesicle Trafficking ,Protein,Cytoplasm,Involved in vesicular transport and membrane fusion processes.
PER3,No,N/A,Circadian Rhythm,Protein,"Nucleus, Cytoplasm",Regulates circadian rhythms and influences cell cycle and metabolism.
UTS2,No,N/A,Cardiovascular Signaling,Protein,Plasma Membrane,"Involved in vasodilation, regulation of blood pressure."
TNFRSF9,Yes,Oncogene,Immune Signaling,Protein,Plasma Membrane,"Role in immune response, promotes cell survival and proliferation."
PARK7,No,N/A,Neurodegenerative ,Protein,"Cytoplasm, Mitochondria","Functions as an antioxidant, protects against oxidative stress."
ERRFI1,No,N/A,Growth Factor Signaling,Protein,Cytoplasm,Acts as a negative regulator of receptor tyrosine kinase signaling.
RNU1-7P,No,N/A,,Small nuclear RNA,Nucleus,Involved in RNA processing and splicing.
LINC01714,No,N/A,,Long non-coding RNA,Nucleus,Possible role in transcriptional regulation.
RNU6-991P,No,N/A,,Small nuclear RNA,Nucleus,Participation in RNA splicing and gene regulation.
SLC45A1,No,N/A,Metabolic ,Protein,Plasma Membrane,"Involved in solute transport, specifically sugar transport."
RERE,Yes,Tumor Suppressor,Developmental Signaling,Transcription factor,Nucleus,Involved in transcriptional regulation and developmental processes.
RERE-AS1,No,N/A,,Long non-coding RNA,Nucleus,May have roles in regulating RERE and other genes.
RPL7P11,No,N/A,Ribosome Biogenesis,Ribosomal protein,"Nucleus, Cytoplasm",Contributes to protein synthesis as part of ribosomal machinery.
RPL7P7,No,No,,Protein (ribosomal),Cytoplasm,"Part of ribosome, involved in protein synthesis"
RPL23AP19,No,No,,Protein (ribosomal),Cytoplasm,"Component of the ribosome, essential for translation"
ENO1,Yes,No,"Glycolysis, Cancer Metabolism",Enzyme,Cytoplasm,Catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate in glycolysis
ENO1-AS1,No,No,,Long Non-coding RNA,Nucleus,"Regulatory role in gene expression, potential role in cancer"
RNU6-304P,No,No,,Small Nuclear RNA,Nucleus,Involved in RNA splicing processes
HMGN2P17,No,No,,Protein (high mobility group),Nucleus,"Modulates chromatin structure, associated with gene regulation"
CA6,No,No,Metabolic ,Enzyme,Cytoplasm,Carbonic anhydrase involved in regulating pH and CO2 transport
RN7SL451P,No,No,,Small Nuclear RNA,Nucleus,Role in RNA processing and splicing
SLC2A7,No,No,Glucose Metabolism,Membrane transport protein,Cell membrane,Facilitates glucose transport into cells
SLC2A5,No,No,Glucose Uptake,Membrane transport protein,Cell membrane,Transports glucose; important for insulin-responsive tissues
GPR157,No,No,Cell Signaling,G-protein coupled receptor,Cell membrane,"Neurotransmitter receptor, potential role in neuronal signaling"
MIR34A,Yes,Yes,"Tumor Suppression, Apoptosis",MicroRNA,Cytoplasm,Regulates genes involved in cell cycle control and apoptosis
MIR34AHG,No,No,,Long Non-coding RNA,Nucleus,Possibly acts as a sponge for miR34 signaling
LNCTAM34A,No,No,,Long Non-coding RNA,Nucleus,Potential regulatory role in gene expression
H6PD,No,No,Metabolic ,Enzyme,Cytoplasm,Involved in pentose phosphate pathway and regulating glucose metabolism
SPSB1,No,No,Cell Signaling,Protein,Cytoplasm,"Modulates signal transduction, potentially regulating cell growth and differentiation"
RNA5SP40,No,No,,Small Non-coding RNA,Nucleus,Involved in RNA processing and regulation
SLC25A33,No,No,Metabolic ,Membrane transport protein,Mitochondrial membrane,Involved in mitochondrial transport and metabolism
TMEM201,No,No,,Membrane protein,Cell membrane,Potential role in cellular signaling and regulation
PIK3CD,Yes,Yes,Pi3k/Akt ,Enzyme,Cytoplasm,"Involved in cellular growth, proliferation, and survival signaling pathways"
PIK3CD-AS1,Yes,Oncogene,Pi3k-Akt ,Non-coding RNA,Nucleus,Modulates PI3K-AKT signaling and may impact cell growth and survival.
PIK3CD-AS2,Yes,Oncogene,Pi3k-Akt ,Non-coding RNA,Nucleus,Affects PIK3CD expression; contributes to tumor development through regulation.
CLSTN1,No,Tumor Suppressor,Neurotransmitter Signaling,Protein,"Cytoplasm, Cell Membrane",Involved in synapse formation and may regulate cellular adhesion.
MZT1P1,No,Unknown,,Non-coding RNA,Nucleus,"Potential regulatory role, but specific functions unclear in cancer."
CTNNBIP1,Yes,Tumor Suppressor,Wnt Signaling ,Protein,"Cytoplasm, Nucleus",Modulates Wnt signaling; negative regulator of β-catenin signaling.
LZIC,No,Unknown,,Protein,Unknown,Limited information available; further study required.
NMNAT1,No,Tumor Suppressor,Metabolic Regulation,Enzyme,"Cytoplasm, Nucleus",Converts NMN to NAD+; implicated in neuroprotection and metabolic processes.
RN7SKP269,No,Unknown,,Non-coding RNA,Nucleus,May have roles in RNA polymerase II transcription regulation.
MIR5697,No,Unknown,Microrna ,MicroRNA,Cytoplasm,Regulation of gene expression; potential roles in cancer biology unclear.
RBP7,No,Unknown,,RNA Binding Protein,Cytoplasm,Involved in RNA regulation and processing; potential roles in gene expression.
UBE4B,Yes,Oncogene,Ubiquitin-Proteasome ,Ubiquitin Ligase,Cytoplasm,Modulates protein degradation; may influence cancer cell proliferation.
PGAM1P11,No,Unknown,Glycolysis,Non-coding RNA,Nucleus,Possible regulatory function in glycolytic pathway; specific roles are unclear.
RNU6-828P,No,Unknown,Rna Processing,Non-coding RNA,Nucleus,Involved in splicing; potential role in gene regulation.
KIF1B,Yes,Tumor Suppressor,Cell Cycle Regulation,Motor Protein,Cytoplasm,Involved in intracellular transport and cell cycle regulation.
RNU6-37P,No,Unknown,Rna Processing,Non-coding RNA,Nucleus,Involved in spliceosome function; potential involvement in gene regulation.
RN7SL731P,No,Unknown,,Non-coding RNA,Nucleus,Roles may involve regulation of gene expression; specific functions poorly defined.
PGD,No,Tumor Suppressor,Pentose Phosphate ,Enzyme,Cytoplasm,Important for cellular metabolism and redox balance; roles in cancer not well defined.
CENPS,No,Unknown,Mitosis,Protein,Nucleus,Plays a role in kinetochore assembly during cell division; implications in cancer.
CENPS-CORT,No,Unknown,,Protein,Unknown,"Likely enzymatic function, specific roles are not clearly defined."
CORT,No,Unknown,,Protein,Unknown,Limited information available about function and cancer involvement.
DFFA,No,Tumor Suppressor,Apoptosis,Apoptotic protein,"Nucleus, Cytoplasm",Involved in apoptosis through DNA fragmentation.
PEX14,No,No,Peroxisome Biogenesis,Peroxisomal protein,Peroxisome,Plays a role in peroxisome assembly and metabolism.
RN7SL614P,No,No,,Non-coding RNA,Nucleus,Functions in RNA processing as a component of snRNPs.
CASZ1,Yes,No,Developmental ,Zinc finger protein,Nucleus,Transcription factor involved in development and cell fate.
HSPE1P24,No,No,Chaperone ,Chaperone,Cytoplasm,Involved in protein folding and stress responses.
C1orf127,No,No,,Unknown protein,Unknown,Function not well characterized; potential regulatory role.
CFL1P6,No,No,,Actin filament protein,Cytoplasm,Implicated in cytoskeletal organization.
TARDBP,Yes,Yes,Rna Metabolism,RNA-binding protein,Nucleus,Regulates pre-mRNA splicing and stability; linked to ALS.
MASP2,No,No,Complement Cascade,Serine protease,Blood plasma,Involved in the lectin pathway of the complement system.
SRM,No,No,S-Adenosylmethionine Metabolism,Enzyme,Cytoplasm,Catalyzes the synthesis of L-arginine and S-adenosylmethionine.
EXOSC10,No,No,Rna Degradation,Exosome component,"Cytoplasm, Nucleus",Part of the exosome complex involved in RNA processing and degradation.
EXOSC10-AS1,No,No,Regulatory Rna,Long non-coding RNA,Nucleus,Regulates gene expression and RNA metabolism.
MTOR,Yes,Yes,Mtor Signaling ,Kinase,"Cytoplasm, Nucleus","Central regulator of cell growth, proliferation, and survival."
MTOR-AS1,No,No,Regulatory Rna,Long non-coding RNA,Nucleus,Regulates MTOR activity and cellular metabolism.
RNU6-537P,No,No,Rna Processing,Non-coding RNA,Nucleus,Involved in spliceosomal assembly and function.
ANGPTL7,No,No,Angiogenesis,Secreted protein,Extracellular,Involved in vascular development and maintenance.
RNU6-291P,No,No,Rna Processing,Non-coding RNA,Nucleus,Functions in pre-mRNA splicing as part of the spliceosome.
RPL39P6,No,No,Ribosome Biogenesis,Ribosomal protein,Cytoplasm,Component of the ribosome involved in protein synthesis.
UBIAD1,No,No,Cholesterol Metabolism,Enzyme,Cytoplasm,Involved in the synthesis of coenzyme Q10 and cholesterol metabolism.
UBE2V2P3,No,No,Ubiquitin-Proteasome ,Ubiquitin-conjugating enzyme,Cytoplasm,Plays a role in protein degradation through ubiquitination.
MTCYBP45,No,Oncogene,Cell Cycle Regulation,Protein-coding,Mitochondria,Regulates mitochondrial function and stress response
DISP3,No,Tumor suppressor,Wnt Signaling,Protein-coding,Cytoplasm,Involved in RNA processing and regulation.
LINC01647,No,Unknown,Non-Coding Rna Function,Long non-coding RNA,Nucleus,Epigenetic regulation of gene expression.
FBXO2,Yes,Oncogene,Ubiquitin-Proteasome ,F-box protein,Cytoplasm,Mediates protein degradation involved in cell cycle.
FBXO44,No,Oncogene,Ubiquitin-Proteasome ,F-box protein,Cytoplasm,Regulates target protein stability and cell growth.
FBXO6,No,Oncogene,Ubiquitin-Proteasome ,F-box protein,Cytoplasm,Implicated in protein degradation and cellular processes
MAD2L2,Yes,Tumor suppressor,Dna Damage Repair,Protein-coding,Nucleus,Involved in the DNA damage response and cell cycle checkpoint.
DRAXIN,No,Oncogene,Signal Transduction,Protein-coding,Cytoplasm,Potential role in neural development and signaling.
AGTRAP,No,Unknown,Angiotensin Signaling,Protein-coding,Cell membrane,Involved in the modulation of angiotensin receptors.
C1orf167,No,Unknown,,Protein-coding,Cytoplasm,Function is largely unknown; associated with multiple biological processes
C1orf167-AS1,No,Unknown,,Long non-coding RNA,Nucleus,Potential regulatory role in gene expression.
MTHFR,Yes,Tumor suppressor,Folate Metabolism,Enzyme,Cytoplasm,Involved in methionine and folate cycling.
CLCN6,No,Unknown,Ion Transport,Ion channel,Plasma membrane,Involved in ion transport across membranes.
NPPA,No,Tumor suppressor,Cardiovascular Signaling,Hormone,Cytoplasm,Functions in cardiovascular homeostasis and diuresis
NPPB,No,Unknown,Heart Failure Signaling,Hormone,Cytoplasm,Plays a role in cardiovascular homeostasis.
SBF1P2,No,Unknown,,Long non-coding RNA,Nucleus,Potential regulatory role; specific function unknown.
RNU5E-1,No,Tumor suppressor,Rna Processing,Small nuclear RNA,Nucleus,Involved in spliceosomal RNA functions.
RNU5E-4P,No,Unknown,Rna Processing,Small nuclear RNA,Nucleus,Function is largely unknown; associated with RNA processing.
KIAA2013,No,Oncogene,,Protein-coding,Cytoplasm,"Potential role in cell cycle regulation, function still under investigation"
PLOD1,No,Unknown,Ecm Remodeling,Enzyme,Endoplasmic reticulum,Involved in collagen synthesis and extracellular matrix structure.
MFN2,Yes,Tumor Suppressor,Mitochondrial Dynamics,Mitochondrial Protein,Mitochondria,Regulates mitochondrial fusion and dynamics
MIIP,No,Tumor Suppressor,"Various E.g., P53 ",Protein,Nucleus,Involved in DNA damage response
RN7SL649P,No,Non-coding RNA,,Non-coding RNA,Nucleus,Potential regulatory role in gene expression
TNFRSF8,Yes,Oncogene,Tnf Signaling ,Receptor,Cell membrane,Mediates inflammatory responses
RNU6-777P,No,Non-coding RNA,,Non-coding RNA,Nucleus,Plays a role in RNA splicing
RPL23AP89,No,Pseudogene,,Ribosomal Protein,Cytoplasm,Component of the ribosome
TNFRSF1B,Yes,Oncogene,Tnf Signaling ,Receptor,Cell membrane,Involved in apoptosis and cell signaling
MIR4632,No,MicroRNA,Various,Non-coding RNA,Cytoplasm,Regulates gene expression post-transcriptionally
RPL10P17,No,Pseudogene,,Ribosomal Protein,Cytoplasm,Involved in protein synthesis
VPS13D,No,Tumor Suppressor,Endosomal Trafficking,Protein,Cytoplasm,Regulates autophagy and endosomal functio
SNORA59A,No,Non-coding RNA,,Non-coding RNA,Nucleus,Involved in rRNA modification
LINC02766,No,Long ncRNA,Various,Non-coding RNA,Nucleus,Potential gene regulatory role
DHRS3,No,Tumor Suppressor,Lipid Metabolism,Enzyme,Cytoplasm,Involved in lipid metabolism and detoxification
RNU6ATAC18P,No,Non-coding RNA,,Non-coding RNA,Nucleus,Role in RNA splicing
AADACL4,No,Enzyme,Metabolism,Enzyme,Cytoplasm,Plays a role in lipid metabolism
AADACL3,No,Enzyme,Metabolism,Enzyme,Cytoplasm,Involved in lipid metabolism
C1orf158,No,Unknown,,Unknown,Unknown,Function is not well characterized
PRAMEF12,No,Non-coding RNA,,Non-coding RNA,Nucleus,May have regulatory roles in immune response
PRAMEF1,No,Non-coding RNA,,Non-coding RNA,Nucleus,Potential role in tumor immunity
LINC01784,No,Long ncRNA,Various,Non-coding RNA,Nucleus,Potential regulatory role
PRAMEF30P,No,No,,Pseudogene,N/A,Possibly involved in the regulation of gene expression.
HNRNPCL1,No,No,,RNA-binding,Nucleus,Involved in pre-mRNA splicing and RNA transport.
PRAMEF2,No,No,Melanoma ,Pseudogene,N/A,Possibly involved in regulation of immune response.
PRAMEF4,No,No,Melanoma ,Pseudogene,N/A,Role in cancer-related immune modulation.
PRAMEF10,No,No,,Pseudogene,N/A,Potentially involved in immune response modulation.
PRAMEF7,No,No,,Pseudogene,N/A,Possibly implicated in cancer immune response.
RNU6-1072P,No,No,,RNA,Nucleus,Involved in the formation of the spliceosome.
PRAMEF29P,No,No,,Pseudogene,N/A,Potentially involved in gene regulation mechanisms.
PRAMEF6,No,No,,Pseudogene,N/A,Potential role in immune responses.
PRAMEF31P,No,No,,Pseudogene,N/A,Possibly linked to immune regulation.
PRAMEF11,No,No,,Pseudogene,N/A,Potentially involved in regulating cell processes.
PRAMEF5,No,No,,Pseudogene,N/A,Involved in transcriptional regulation.
PRAMEF9,No,No,,Pseudogene,N/A,Plays a role in immune response regulation.
PRAMEF36P,No,No,,Pseudogene,N/A,Associated with gene expression regulation.
PRAMEF35P,No,No,,Pseudogene,N/A,Immune response modulation potential.
HNRNPCL4,No,No,,RNA-binding,Nucleus,Involved in mRNA processing and regulation.
PRAMEF25,No,No,,Pseudogene,N/A,Suggestive of a role in immune response pathways.
